object_name,x_coordinates,y_coordinates,z_coordinates,color
Bicycle,"0.21596950904059975,-0.8787286139210773,-0.2893025817387491,0.14202787750340584,0.56396381182737,-0.865999689581372,1.415807625882337,1.8518951024258956","1.852226531707477,0.33733087731680333,0.41281149382587135,-0.7385488931454498,-0.16806521703504373,1.166868194773354,1.048168438640805,0.2332054684599263","1.3557459658173068,0.2492186118300319,1.3570980970716713,1.7743032143123734,-0.3143287781218368,-0.25664695154284656,-0.7652276301595132,1.217293816520316","rgba(59, 5, 19, 0.7)"
Sphere,"-0.43014554725716936,-0.19294154512568695,1.1698283609293756,0.6732496052115948,-0.017254184976824072,1.4902336078498344,-0.03818630051608307,0.23567806820284942","1.101013084380444,-0.7789715715392509,1.7128283016034258,-0.30751475023724795,0.8036884331778125,0.8483192536620598,-0.8304995597052953,-0.09669241538732298","0.656777063360559,-0.9999510265706152,-0.17952982196147704,0.18950998469633706,1.708307516247861,-0.5001580580317536,0.20121721632676737,0.20588860316799562","rgba(186, 252, 235, 0.7)"
Sphere,"0.953139611147428,1.3900433506335585,1.434812190174077,-0.2020194590197485,-0.5342249078717635,-0.6156843144017301,0.10947877950239304,1.6968556638433765","1.5853412068800017,-0.3675275627532951,0.6720195837159846,0.05044266185180213,-0.9610827433747036,1.1945114464848783,1.0760047534545922,1.3631077448199695","0.2429585751216763,0.8371892123517792,1.5909613999672296,0.13666417992039825,1.224485871134,1.6635092017299953,-0.012518988334352388,1.5385161913436836","rgba(229, 145, 236, 0.7)"
Cube,"1.2820543349084539,0.17814139524268757,-0.3968553782208435,-0.6563197606208175,1.0188145847913503,-0.16136817145010307,1.977116835210015,0.6180984728546024","0.065893994931151,1.3362400936616377,-0.04921305898101336,1.6926686482278317,1.8160050081279864,0.01492135417534346,1.7865745368322141,1.7961068489301129","0.28824008760196596,-0.24528474919506726,-0.1997090142031861,0.06903673881672567,1.8036338369642362,1.898602308882662,0.24073088888287897,-0.12518550783189086","rgba(249, 135, 196, 0.7)"
Car,"0.03318723299100279,1.3350416926113335,0.7475942630825347,1.1873801007160472,1.953583974628713,-0.017606480033260596,0.624937190011831,-0.7766941341742805","0.10869978394525837,1.9337739466658745,0.939742406391693,0.9061596918372783,-0.150195713650074,1.4286953276178092,0.8570467086934477,-0.10347542553208222","1.6564519727177762,1.3134724424805801,0.12030878523922262,-0.4089763315562569,1.5278720779087758,1.355220234884729,-0.5048400530055884,1.2889301268707292","rgba(227, 87, 55, 0.7)"
Cone,"-0.9564945095152306,-0.33138484978806904,-0.5838112264783928,-0.32317889407746725,1.1707850894738,1.7355007435463028,1.857450306451033,-0.28336043965940394","-0.1577018109804108,1.604616758108798,0.20372447822318618,-0.4828877441684134,-0.6500531123742502,0.1296616421242771,-0.1792842708838276,0.316178459211953","1.153755460977008,1.6781030693070926,0.6545745638332385,1.709639963572474,-0.4539052856179775,0.48001271925557676,0.43199611228840595,-0.15837777052981883","rgba(19, 98, 225, 0.7)"
Cube,"1.7376402144593883,1.890567157441922,-0.7700544327616411,-0.3046686479286479,0.5575269655142892,0.13179658703323338,-0.3011530616583319,-0.863693271037711","1.4490122949032993,1.4309477281825704,1.2739215521810046,-0.039308022595745284,0.3274560554869681,0.3219679102598656,-0.9681386246671682,1.591213521760011","-0.8250273276941099,0.38447831883765393,1.8470489633128722,0.08082408261331331,-0.3697624778970914,-0.07726933137202918,0.6669099599819397,0.7234574048912978","rgba(127, 54, 237, 0.7)"
Cone,"0.038861204539091254,1.8654456760792164,1.0137009975608313,-0.3457673687371836,1.5881830640376262,0.9456233748186178,0.9868854821288955,0.6133161982431676","1.2699342042869208,-0.6292268569075687,0.05179403505079483,0.9311384553559576,0.05106704877685009,1.0190522467406522,0.6788092265178363,-0.2796078323258686","-0.00702232738583497,1.6594173249139503,0.31397864735860637,1.5921227385008403,1.9530085621733493,-0.7879811408636624,1.8119650811851633,1.8356226674677414","rgba(247, 137, 5, 0.7)"
Cone,"1.5117217918202894,-0.08787883140885222,-0.8593873828416457,-0.32164525896043017,-0.21780751533851905,1.171779610016236,0.8200116591235171,-0.9639196523864468","0.9230951188582632,-0.9385333723299116,-0.31268504250205886,1.91992420354463,1.041427449058053,1.9096319391239147,1.3739539214506777,-0.17852755805729337","-0.9863234359755271,0.6439758149816242,-0.933560198639331,-0.8345892496309236,1.5296836607629616,1.6752459625702594,1.6634165659162807,1.0633260776578939","rgba(155, 211, 6, 0.7)"
Bicycle,"1.1714583085262351,-0.12923415727772958,0.6603253671125806,-0.2977057439929197,1.8466357249480714,0.5856147781511782,-0.058849634695907094,1.5401365650190764","1.0051532445729552,0.6729003532648941,0.746936599454707,-0.6711838722684743,1.1275679076076783,-0.11512345436794402,0.20013719612381076,1.4372945197943183","-0.4426678692299112,1.3340368844811792,-0.44915306083047246,1.6867815619751978,-0.9412669261808227,1.3088173888821277,-0.22956283281787226,-0.5796129390120291","rgba(180, 59, 162, 0.7)"
